Month,Department,Budgeted Amount,Actual Spending,Variance
Jul,Operations,6023,4215,-1808
May,HR,11424,9516,-1908
Sep,HR,9207,11447,2240
Sep,Sales,8760,11602,2842
Jul,Operations,6166,4850,-1316
Mar,Operations,6922,7429,507
Jun,HR,5226,3376,-1850
Nov,IT,18825,19300,475
Jan,HR,5649,4261,-1388
Apr,Finance,9980,8216,-1764
Aug,Finance,13312,12655,-657
Apr,IT,10241,10055,-186
Aug,IT,10760,7766,-2994
Dec,IT,16530,19118,2588
Aug,HR,6523,7788,1265
Dec,Marketing,14063,15797,1734
Apr,IT,12275,12828,553
Jan,Operations,8210,5460,-2750
Mar,Sales,7473,7487,14
Apr,Sales,18978,21033,2055
Mar,Finance,16012,18735,2723
Apr,IT,18728,17545,-1183
Jun,Operations,6347,5825,-522
Oct,Marketing,16423,16326,-97
Dec,IT,19910,22535,2625
Jun,Operations,8588,5624,-2964
Jun,Marketing,15547,14552,-995
Sep,IT,16705,14424,-2281
Mar,Marketing,10089,7624,-2465
Dec,Operations,6797,8592,1795
Jul,Sales,14107,16738,2631
Jul,Finance,15383,13183,-2200
Apr,Finance,17841,19927,2086
Mar,IT,13723,11183,-2540
Apr,HR,9806,12785,2979
Apr,IT,8378,7367,-1011
May,Operations,6625,9279,2654
Nov,Marketing,12444,11267,-1177
Mar,Marketing,9852,12422,2570
Aug,Operations,8446,9979,1533
Dec,Marketing,5217,4909,-308
Sep,Sales,13807,14099,292
Aug,IT,10700,13012,2312
Feb,Sales,18138,15518,-2620
May,HR,11155,8457,-2698
Jun,HR,11822,11115,-707
Mar,Operations,12888,14371,1483
Jun,Sales,18346,17942,-404
Aug,Finance,15091,14057,-1034
Oct,Sales,6396,4570,-1826
Aug,IT,17355,19114,1759
Jul,Marketing,12745,13360,615
Dec,Sales,14689,14933,244
Sep,Finance,19792,20724,932
Feb,Finance,12868,11548,-1320
Jun,Marketing,18703,17849,-854
Dec,Sales,10501,11430,929
Nov,Finance,10803,12376,1573
May,IT,12445,11856,-589
Apr,IT,9420,7965,-1455
Oct,IT,17864,15306,-2558
Jul,IT,7312,9495,2183
Jun,Sales,5436,4637,-799
Sep,IT,17996,19038,1042
Apr,Operations,8525,9482,957
Sep,Marketing,11768,9895,-1873
Jun,Marketing,19084,19748,664
Aug,Marketing,10780,10949,169
Aug,Finance,17599,17400,-199
Apr,IT,15372,15041,-331
Apr,HR,11476,12494,1018
Aug,Marketing,9796,7902,-1894
Apr,HR,14028,13104,-924
Dec,Operations,15064,15781,717
Mar,Operations,14732,13539,-1193
Jan,Finance,15742,16558,816
Apr,IT,11780,9063,-2717
Apr,Marketing,7568,7908,340
Jan,IT,13760,11198,-2562
Nov,IT,8167,10148,1981
Jul,Finance,15840,16301,461
Dec,Finance,18673,17507,-1166
Jan,Operations,16382,19135,2753
Oct,HR,6145,5420,-725
Jan,Finance,16313,19176,2863
Aug,Marketing,17950,16311,-1639
Jul,Finance,9752,10066,314
Oct,Finance,5204,6036,832
Sep,Sales,12929,15096,2167
Jun,Sales,9614,11850,2236
Sep,Finance,9121,8089,-1032
Jan,Marketing,17858,17061,-797
Apr,HR,13632,16528,2896
Nov,HR,8103,8886,783
Aug,Sales,17963,16116,-1847
Aug,Operations,10304,8512,-1792
Jul,HR,9189,7902,-1287
Jan,IT,18170,20225,2055
Jun,Operations,19361,16655,-2706
Oct,Finance,17829,17617,-212
Jul,Marketing,8805,6832,-1973
Jan,Finance,11920,10770,-1150
May,IT,14467,16805,2338
Oct,HR,16745,15807,-938
Apr,Marketing,8857,7962,-895
Feb,HR,9079,9945,866
Feb,HR,5662,5122,-540
Oct,HR,14297,11678,-2619
Sep,Finance,9485,8228,-1257
Feb,IT,13870,14416,546
May,Operations,19160,19357,197
Mar,HR,15253,17865,2612
Nov,Operations,11470,9960,-1510
Jun,Sales,15004,13619,-1385
Jun,IT,15992,18429,2437
Dec,Sales,13854,14328,474
Oct,Sales,16331,16572,241
Feb,Marketing,8165,9089,924
Jan,Sales,5123,6337,1214
Jan,Operations,9571,11372,1801
Feb,Sales,16172,14587,-1585
Dec,HR,15173,17971,2798
Feb,Marketing,12817,10532,-2285
Jun,HR,11974,9735,-2239
May,Marketing,16533,14096,-2437
Oct,Sales,8093,9304,1211
Sep,Operations,19102,20285,1183
Nov,Finance,5853,5433,-420
Jun,Finance,6991,7414,423
Dec,IT,15882,13367,-2515
Feb,Marketing,18836,16397,-2439
Jul,Operations,10219,11316,1097
Nov,Marketing,10557,9680,-877
Aug,Marketing,14466,16274,1808
Oct,Sales,6179,8341,2162
Aug,Operations,6203,4014,-2189
Jun,Sales,13738,11420,-2318
May,HR,13607,11067,-2540
May,Sales,13905,13752,-153
Aug,Marketing,9763,8341,-1422
Jun,IT,12019,11663,-356
Mar,Sales,10311,10481,170
Aug,Marketing,5900,4350,-1550
May,Finance,18250,19678,1428
Aug,Finance,15158,14425,-733
Apr,Operations,17599,18697,1098
Sep,Operations,15987,15109,-878
Jan,IT,13399,14645,1246
Nov,HR,11513,11702,189
Apr,IT,13525,13114,-411
Feb,Finance,8978,9673,695
Oct,Marketing,18407,19803,1396
Aug,Marketing,9107,8784,-323
May,Finance,7064,5183,-1881
Mar,Operations,12259,15191,2932
Aug,Sales,9373,12218,2845
Nov,Sales,12281,9991,-2290
Aug,Operations,12682,13350,668
Sep,HR,15583,16141,558
Feb,Sales,14005,15463,1458
Apr,IT,11987,11146,-841
Aug,Finance,13488,15620,2132
Mar,Operations,18961,19464,503
Sep,IT,9118,9398,280
May,Finance,19237,20018,781
Feb,Sales,16484,18038,1554
Mar,Operations,13504,16026,2522
Jun,Marketing,5341,3451,-1890
Dec,Marketing,15310,14180,-1130
May,Finance,18150,18150,0
Oct,IT,11830,13519,1689
Oct,Marketing,10387,12905,2518
Mar,IT,16469,15230,-1239
Jun,HR,7456,4992,-2464
Jun,HR,6382,9128,2746
May,Finance,6673,4823,-1850
Mar,Operations,12887,14451,1564
Jul,Finance,11839,9560,-2279
Sep,Finance,9636,11045,1409
Sep,IT,13199,12736,-463
Apr,IT,14164,16642,2478
Apr,IT,12879,11916,-963
Nov,Sales,11563,13125,1562
Dec,Sales,6902,4041,-2861
Nov,Sales,19456,22380,2924
Sep,IT,12540,15125,2585
Jun,Finance,10657,12498,1841
Jan,Marketing,9049,10008,959
Mar,Finance,12859,10449,-2410
Mar,HR,18680,20475,1795
May,Marketing,12306,9873,-2433
Dec,Operations,15496,15907,411
Mar,Sales,9567,11486,1919
Jun,Marketing,5049,4877,-172
Nov,HR,12499,14896,2397
Jan,IT,17366,15709,-1657
Jan,Finance,17406,14739,-2667
Nov,Finance,5077,4372,-705
Sep,Finance,17363,20036,2673
Feb,Marketing,14306,15638,1332
Apr,Finance,9838,7499,-2339
Jun,Finance,9234,11245,2011
Jun,Operations,6874,4613,-2261
Jan,Operations,16823,18594,1771
Oct,Finance,18569,17894,-675
Jun,Sales,10235,8674,-1561
Oct,Operations,18618,15909,-2709
Apr,Finance,19170,16805,-2365
Sep,Marketing,18315,18731,416
Dec,Operations,12949,11569,-1380
May,Finance,16048,16361,313
Feb,Finance,8166,5337,-2829
Aug,Finance,9814,12809,2995
Dec,Operations,18536,15776,-2760
Jul,Finance,9638,7694,-1944
Jul,HR,7308,6776,-532
Mar,Sales,10934,9381,-1553
Jun,Marketing,9351,6659,-2692
Aug,HR,13243,10749,-2494
Apr,Sales,15622,13582,-2040
Jan,IT,6457,8209,1752
Jul,Operations,9147,10703,1556
Jul,Operations,12209,11383,-826
Aug,Finance,9326,11975,2649
Jun,Sales,7638,7648,10
Apr,Sales,19330,16581,-2749
Jun,Operations,14743,16718,1975
Oct,IT,17614,17089,-525
May,IT,12914,11046,-1868
Nov,Sales,11466,11861,395
Nov,Operations,17768,15558,-2210
Feb,Sales,6159,5454,-705
Aug,Finance,10551,10358,-193
Sep,Operations,14464,13375,-1089
Feb,Marketing,15076,12950,-2126
Oct,Sales,12391,12727,336
Dec,Sales,17837,16806,-1031
Oct,IT,10123,8942,-1181
Aug,Marketing,14424,15434,1010
Nov,IT,16070,15539,-531
Nov,Operations,17097,15888,-1209
Jan,Marketing,17963,20281,2318
Sep,Finance,12170,14981,2811
Feb,Finance,5363,7626,2263
Sep,Marketing,17833,20302,2469
Mar,Operations,9398,8153,-1245
Jun,Operations,18753,15853,-2900
Dec,Operations,7472,5361,-2111
Jun,Marketing,19579,21567,1988
Jul,Sales,18372,15481,-2891
Oct,Sales,19297,18758,-539
Feb,Sales,11515,12917,1402
Dec,HR,9917,12459,2542
Aug,Operations,19946,18209,-1737
Jul,Sales,17141,15293,-1848
Jun,Operations,10174,11712,1538
Apr,Marketing,14948,12997,-1951
Jul,Marketing,5843,6360,517
Jul,IT,10429,12373,1944
Aug,HR,9377,8995,-382
Oct,Operations,14160,17094,2934
Nov,Marketing,8833,11210,2377
Apr,Finance,15024,13390,-1634
Dec,Finance,5412,3621,-1791
Aug,Finance,14267,16733,2466
Jul,Finance,17099,18790,1691
Jun,Operations,19353,20397,1044
Jun,Finance,12228,14065,1837
Jan,IT,18780,20187,1407
Jan,IT,9372,7730,-1642
May,IT,12646,13575,929
Dec,Marketing,10990,10306,-684
Sep,HR,15762,14311,-1451
Jun,Finance,17389,16070,-1319
Oct,IT,16303,17460,1157
Dec,Operations,18796,20493,1697
May,HR,16356,13779,-2577
Mar,HR,9982,7558,-2424
Feb,Operations,9443,11045,1602
Dec,Marketing,6531,9292,2761
May,Finance,8386,7254,-1132
Dec,Operations,9295,11782,2487
Nov,Operations,17197,15710,-1487
Sep,HR,5264,7601,2337
Oct,HR,9793,11290,1497
Feb,IT,15038,14634,-404
Jul,Operations,12066,14957,2891
Feb,Sales,6916,6187,-729
May,Sales,18212,18702,490
Sep,Sales,19230,19384,154
Jun,HR,12380,11849,-531
Aug,Finance,13670,12235,-1435
Mar,Finance,14188,12969,-1219
Apr,HR,10092,11369,1277
Apr,Sales,14080,13469,-611
Jul,Sales,18314,19739,1425
May,IT,15472,13038,-2434
Sep,Operations,10954,11295,341
Apr,Sales,19800,16925,-2875
Mar,Finance,18110,16891,-1219
Dec,Finance,18913,16128,-2785
Feb,Operations,15792,17579,1787
Nov,HR,7774,6432,-1342
Jun,Operations,18997,20233,1236
Jan,IT,17014,14700,-2314
Feb,IT,10538,9592,-946
Jan,HR,15848,13787,-2061
Feb,Sales,9577,10672,1095
Feb,Sales,8843,10304,1461
Sep,Operations,10755,10377,-378
Feb,Finance,9650,7857,-1793
Dec,IT,14775,15355,580
Oct,Operations,13818,12811,-1007
Jun,Operations,9829,12654,2825
Jan,Sales,7005,5719,-1286
Dec,HR,9027,10856,1829
May,HR,8999,10836,1837
Oct,Marketing,11784,10430,-1354
Dec,Sales,16264,13906,-2358
Apr,Operations,5236,6715,1479
Nov,Sales,17286,19736,2450
Jan,HR,6901,5857,-1044
Dec,Operations,8249,10107,1858
Feb,HR,10839,11744,905
Jun,IT,8502,7113,-1389
Aug,Sales,8642,7933,-709
Jun,IT,5669,4221,-1448
Nov,HR,18273,19552,1279
Feb,HR,10774,12369,1595
Feb,Operations,14881,13766,-1115
Oct,HR,5289,8111,2822
Oct,Sales,7079,6069,-1010
Sep,Operations,17682,18213,531
Feb,IT,18765,18218,-547
Oct,Sales,19557,19999,442
Aug,Sales,18127,19711,1584
Aug,Finance,15512,16683,1171
Jul,Sales,19380,21445,2065
Oct,Marketing,17629,15832,-1797
Jul,HR,12773,15324,2551
Aug,Sales,6177,6705,528
Oct,IT,16986,17403,417
Dec,Finance,12080,10624,-1456
Jun,IT,18636,18221,-415
Mar,Operations,7554,9526,1972
Jan,Marketing,18729,18216,-513
Feb,Marketing,13656,13329,-327
Mar,IT,16887,15592,-1295
Nov,Sales,13786,13741,-45
Mar,Sales,13467,11504,-1963
Oct,IT,8257,10715,2458
Jun,Finance,17700,18104,404
Jun,Finance,14116,12277,-1839
Oct,Finance,10437,12040,1603
Apr,IT,5099,6199,1100
Oct,HR,7882,6417,-1465
Feb,HR,17864,19037,1173
Feb,Finance,15130,16579,1449
Oct,Operations,11747,11582,-165
Apr,Operations,6620,7669,1049
Feb,Marketing,19571,17874,-1697
Apr,IT,18673,16806,-1867
Dec,Operations,11187,10983,-204
Oct,Marketing,15591,14960,-631
Jun,Finance,8061,10754,2693
Mar,Operations,14258,17132,2874
Nov,HR,6689,7915,1226
Apr,Finance,12887,14374,1487
Aug,IT,9434,9659,225
Oct,HR,9191,7755,-1436
May,Sales,12070,14471,2401
Oct,Marketing,7273,4817,-2456
Sep,Marketing,12677,14856,2179
Dec,IT,16693,15733,-960
Dec,Marketing,7055,6714,-341
Feb,HR,19504,21840,2336
Oct,Finance,14934,13660,-1274
Apr,Finance,7887,6439,-1448
Sep,HR,7426,7905,479
Feb,Operations,17986,18921,935
Apr,Finance,11601,9319,-2282
Jan,Operations,19521,22198,2677
Mar,HR,12116,11317,-799
Nov,Sales,15484,12898,-2586
Jul,Operations,10269,12614,2345
Jan,Marketing,5631,3779,-1852
Jan,IT,9548,7037,-2511
Jun,Finance,18493,16574,-1919
Apr,Finance,19675,21573,1898
Apr,Sales,17512,17442,-70
Mar,Finance,5483,8477,2994
Aug,Marketing,16367,13653,-2714
Oct,Finance,17328,15646,-1682
Feb,Finance,16559,15831,-728
Dec,Finance,15632,13262,-2370
Jan,Operations,11426,9855,-1571
Feb,IT,18793,16670,-2123
Dec,Marketing,12473,10738,-1735
Feb,Finance,16642,18079,1437
Feb,IT,9121,6532,-2589
Jul,HR,9568,10576,1008
