date,user_id,monthly_income,monthly_expense_total,savings_rate,budget_goal,financial_scenario,credit_score,debt_to_income_ratio,loan_payment,investment_amount,subscription_services,emergency_fund,transaction_count,fraud_flag,discretionary_spending,essential_spending,income_type,rent_or_mortgage,category,cash_flow_status,financial_advice_score,financial_stress_level,actual_savings,savings_goal_met
2021-02-19,1621,5414.37,3328.5,0.1,2707.47,inflation,665.0,0.56,540.72,512.29,5,1233.88,41,0,468.01,2460.65,Salary,964.77,Transportation,Positive,47.7,Medium,2085.87,0
2021-03-21,1998,6042.51,2246.36,0.05,2185.71,inflation,620.0,0.5,419.3,579.51,5,1513.09,22,0,383.93,1975.73,Salary,423.02,Dining Out,Positive,27.9,Medium,3796.15,1
2021-04-20,1058,4422.94,2989.14,0.32,2506.2,normal,662.0,0.38,440.32,326.25,9,322.35,90,0,809.16,1000.0,Salary,1618.9,Groceries,Negative,27.3,High,1433.8,0
2021-05-20,1334,4012.76,2193.69,0.3,3328.25,normal,617.0,0.53,720.24,0.0,6,1168.02,96,0,183.69,1375.03,Freelance,489.72,Entertainment,Negative,65.4,Medium,1819.07,0
2021-06-19,1256,3163.61,4000.56,0.22,2749.02,recession,619.0,0.29,377.91,686.52,6,1411.56,96,0,220.76,2389.84,Salary,1197.82,Entertainment,Negative,89.5,Low,0.0,0
2021-07-19,1421,2980.36,2083.75,0.15,3026.26,recession,690.0,0.23,365.45,213.49,6,453.89,78,0,96.31,2709.84,Salary,1127.79,Rent,Positive,84.0,Medium,896.61,0
2021-08-18,1456,3515.99,3276.12,0.06,3289.32,inflation,633.0,0.12,479.01,353.98,8,347.98,38,0,482.87,2536.01,Salary,1042.06,Groceries,Positive,98.8,Low,239.87,0
2021-09-17,1974,3855.03,2510.28,0.4,3054.35,normal,736.0,0.52,247.74,223.91,9,497.88,22,0,352.05,2030.87,Freelance,994.3,Insurance,Positive,80.7,Low,1344.75,0
2021-10-17,1730,3725.58,3430.91,0.08,2739.51,normal,771.0,0.43,588.68,736.18,9,890.21,70,0,0.0,1675.65,Salary,834.94,Healthcare,Positive,88.5,Medium,294.67,0
2021-11-16,1340,5423.61,3424.74,0.39,2646.35,recession,718.0,0.2,330.56,610.25,4,735.81,86,0,546.81,2287.09,Salary,1768.19,Groceries,Positive,62.6,Medium,1998.87,0
2021-12-16,1794,5273.97,2583.11,0.16,3373.36,recession,602.0,0.44,426.18,621.56,7,898.01,71,0,547.92,2573.98,Salary,1370.0,Transportation,Positive,72.8,Medium,2690.86,0
2022-01-15,1776,4276.99,2785.21,0.31,3381.24,inflation,731.0,0.22,480.68,282.26,7,2344.53,29,0,482.68,2102.28,Freelance,866.95,Education,Positive,46.9,High,1491.78,0
2022-02-14,1173,4781.39,3279.82,0.29,2503.33,recession,691.0,0.36,742.09,0.0,7,0.0,62,0,119.8,2368.1,Salary,1530.57,Utilities,Positive,22.2,High,1501.57,0
2022-03-16,1482,4457.69,3522.27,0.3,2887.95,normal,632.0,0.13,390.65,0.0,3,1154.66,35,0,469.88,2333.02,Salary,1607.09,Entertainment,Neutral,51.5,Medium,935.42,0
2022-04-15,1913,3782.73,2241.48,0.16,3606.0,normal,689.0,0.5,564.04,278.85,9,790.98,25,0,260.49,2092.8,Salary,1181.67,Rent,Negative,4.2,Low,1541.25,0
2022-05-15,1529,3933.49,4154.43,0.37,3058.63,normal,635.0,0.13,880.34,552.72,3,210.08,52,0,598.5,3256.12,Salary,1213.39,Transportation,Negative,98.0,Low,0.0,0
2022-06-14,1737,4047.29,2359.97,0.07,3092.41,normal,599.0,0.4,602.42,342.41,3,857.38,21,0,662.09,1979.19,Salary,969.63,Rent,Neutral,77.9,Low,1687.32,0
2022-07-14,1205,4076.19,3117.55,0.32,2422.02,normal,728.0,0.59,358.86,160.08,5,471.82,70,0,482.28,2970.22,Salary,519.17,Education,Negative,4.2,High,958.64,0
2022-08-13,1756,4155.26,3157.23,0.17,2270.44,normal,720.0,0.27,743.05,245.03,2,1347.98,27,0,697.79,2778.93,Salary,1396.85,Insurance,Positive,11.9,Low,998.03,0
2022-09-12,1957,1900.97,3577.86,0.4,3450.97,recession,744.0,0.31,548.82,237.28,9,1398.07,35,0,719.91,2969.82,Salary,1418.73,Education,Positive,5.2,Low,0.0,0
2022-10-12,1983,2402.19,2901.92,0.06,2919.87,normal,705.0,0.18,686.61,461.51,6,1569.13,54,0,702.66,2610.4,Salary,1762.45,Insurance,Positive,39.9,Low,0.0,0
2022-11-11,1206,3764.31,2918.07,0.22,2831.01,normal,662.0,0.44,671.29,0.0,4,789.59,96,0,619.13,2275.19,Salary,1127.83,Groceries,Positive,66.0,Low,846.24,0
2022-12-11,1983,3549.62,2797.15,0.07,2304.84,normal,690.0,0.16,639.79,313.85,7,713.24,94,0,722.47,2522.92,Salary,906.81,Insurance,Positive,71.6,High,752.47,0
2023-01-10,1984,4722.51,3075.01,0.34,2922.43,normal,655.0,0.33,632.85,130.94,3,662.47,82,0,738.87,1951.17,Salary,936.35,Healthcare,Positive,32.4,High,1647.5,0
2023-02-09,1368,3393.56,3409.64,0.4,3043.73,normal,614.0,0.19,415.4,249.76,4,1264.6,96,0,626.21,3048.68,Mixed,920.01,Education,Neutral,41.1,Low,0.0,0
2023-03-11,1443,4264.95,1818.65,0.09,2964.82,normal,561.0,0.27,153.88,30.37,8,1429.66,35,0,466.6,3184.95,Salary,1485.3,Entertainment,Negative,27.8,Medium,2446.3,0
2023-04-10,1506,3170.26,2214.21,0.36,2228.47,recession,661.0,0.28,306.82,466.11,2,1084.61,40,0,925.74,2129.03,Salary,1027.2,Utilities,Negative,67.7,Medium,956.05,0
2023-05-10,1942,4573.38,3768.84,0.27,2182.29,normal,749.0,0.55,146.4,464.62,5,1591.2,86,0,293.81,1930.96,Salary,686.66,Education,Neutral,54.3,Medium,804.54,0
2023-06-09,1353,2800.92,1663.92,0.24,2369.23,normal,657.0,0.17,125.73,553.6,4,1420.61,82,0,487.92,2253.56,Freelance,1787.83,Education,Positive,23.0,Low,1137.0,0
2023-07-09,1477,5578.55,2600.71,0.06,1942.39,recession,700.0,0.45,262.58,813.12,3,1379.9,74,0,473.79,2580.57,Freelance,1051.48,Healthcare,Negative,53.8,Medium,2977.84,1
2023-08-08,1657,4078.42,2546.59,0.33,2892.13,recession,630.0,0.37,589.78,690.28,8,1376.49,22,0,784.24,1158.34,Salary,1571.24,Groceries,Positive,6.3,Low,1531.83,0
2023-09-07,1275,4116.03,2919.91,0.14,2697.48,normal,688.0,0.53,485.74,386.86,9,897.14,76,0,228.4,2745.38,Salary,916.7,Healthcare,Positive,64.1,Low,1196.12,0
2023-10-07,1908,4268.09,2534.99,0.13,1820.82,recession,750.0,0.5,470.08,499.18,3,928.08,80,0,430.83,2556.3,Freelance,1076.83,Utilities,Positive,76.0,Low,1733.1,0
2023-11-06,1585,5466.77,3518.15,0.15,3075.67,normal,675.0,0.33,300.01,419.52,8,872.66,29,0,555.2,2010.92,Salary,1257.5,Education,Positive,87.6,Low,1948.62,0
2019-01-01,1177,3593.89,3401.82,0.25,2155.52,normal,619.0,0.13,725.61,698.79,7,1860.17,96,0,348.61,3220.52,Salary,862.47,Insurance,Positive,68.3,High,192.07,0
2019-01-31,1900,5216.32,3003.14,0.25,3287.03,normal,695.0,0.25,322.61,207.54,4,429.86,25,0,152.69,1446.48,Mixed,1084.08,Entertainment,Negative,77.3,Low,2213.18,0
2019-03-02,1213,3997.43,2243.56,0.16,2257.94,normal,683.0,0.45,399.33,705.24,2,466.72,32,0,776.76,2170.57,Salary,2614.62,Education,Neutral,37.1,Medium,1753.87,0
2019-04-01,1855,4838.69,4392.42,0.26,3274.63,recession,645.0,0.5,723.09,919.03,7,1226.78,87,0,470.58,1931.79,Salary,936.57,Groceries,Positive,23.8,Low,446.27,0
2019-05-01,1094,3613.29,1069.2,0.25,3365.82,recession,649.0,0.48,516.49,465.08,8,609.45,93,0,226.87,3212.17,Freelance,485.97,Groceries,Neutral,99.4,High,2544.09,0
2019-05-31,1900,4055.69,4699.43,0.16,1905.94,normal,764.0,0.41,262.43,483.13,6,354.31,24,0,342.8,1307.91,Mixed,860.13,Transportation,Neutral,38.0,Low,0.0,0
2019-06-30,1483,4533.65,3390.89,0.16,2109.21,normal,658.0,0.27,568.54,122.02,7,1332.26,84,0,870.45,3362.31,Mixed,2114.22,Investments,Neutral,25.8,High,1142.76,0
2019-07-30,1512,5532.8,810.91,0.32,2731.72,inflation,691.0,0.14,416.89,228.69,9,1635.48,59,0,545.09,2136.32,Mixed,1562.54,Investments,Positive,45.2,Medium,4721.89,1
2019-08-29,1458,5295.24,1740.05,0.11,3118.97,normal,726.0,0.16,525.73,356.75,8,1003.08,24,0,811.35,1293.6,Freelance,1000.74,Transportation,Positive,72.3,Low,3555.19,1
2019-09-28,1038,3705.56,2972.45,0.18,2874.56,normal,692.0,0.11,686.14,0.0,4,1420.62,77,0,47.46,1052.47,Salary,1347.05,Groceries,Negative,97.4,Medium,733.11,0
2019-10-28,1595,4521.79,3131.93,0.37,3025.06,normal,645.0,0.41,280.93,303.34,1,1013.99,90,0,187.14,1731.05,Salary,368.58,Entertainment,Negative,62.2,High,1389.86,0
2019-11-27,1205,3629.51,3352.63,0.06,2658.66,normal,727.0,0.39,4.73,495.41,7,1294.54,23,0,532.19,2227.09,Salary,1465.63,Education,Neutral,73.8,Low,276.88,0
2019-12-27,1511,2586.17,2534.03,0.09,2409.44,inflation,613.0,0.56,604.13,979.88,7,185.58,34,0,679.0,2078.09,Salary,1681.8,Healthcare,Positive,50.3,Medium,52.14,0
2020-01-26,1084,3677.05,2276.04,0.17,3074.08,normal,753.0,0.57,366.83,601.09,9,834.09,36,0,146.24,2715.84,Salary,1441.28,Groceries,Positive,74.5,Medium,1401.01,0
2020-02-25,1799,3285.42,2691.73,0.21,2966.68,recession,714.0,0.47,706.65,406.24,7,195.09,76,0,586.33,1361.88,Salary,1121.37,Entertainment,Positive,33.8,High,593.69,0
2020-03-26,1866,3814.84,2020.61,0.14,2757.38,recession,670.0,0.18,367.81,666.47,8,1872.93,37,0,537.93,2462.69,Freelance,465.23,Healthcare,Positive,96.9,Low,1794.23,0
2020-04-25,1949,2282.15,1808.42,0.08,2036.74,normal,612.0,0.43,573.76,489.73,5,486.95,93,0,438.09,2490.75,Salary,928.5,Investments,Positive,55.7,Low,473.73,0
2020-05-25,1730,4003.62,4254.45,0.17,2560.16,normal,628.0,0.46,660.45,767.32,1,794.26,57,0,525.02,1000.0,Salary,1609.61,Insurance,Positive,71.8,Low,0.0,0
2020-06-24,1355,4169.75,3064.38,0.39,3289.28,normal,658.0,0.24,633.69,759.34,8,1040.06,60,0,384.05,3045.44,Salary,1556.05,Insurance,Positive,46.4,Medium,1105.37,0
2020-07-24,1166,4154.59,3070.33,0.37,3168.63,inflation,682.0,0.35,634.79,475.69,9,723.56,53,0,563.52,2297.94,Mixed,2222.8,Investments,Positive,93.6,High,1084.26,0
2020-08-23,1694,5530.99,996.21,0.26,1673.99,inflation,668.0,0.1,563.79,597.11,6,1304.41,50,0,437.43,1887.29,Salary,1249.45,Utilities,Neutral,69.7,High,4534.78,1
2020-09-22,1230,2249.0,4408.99,0.1,3479.97,inflation,681.0,0.35,832.77,312.28,4,1475.67,73,0,226.64,1547.2,Salary,1380.6,Investments,Positive,9.6,Low,0.0,0
2020-10-22,1306,4108.07,2591.19,0.2,3900.31,recession,668.0,0.1,298.17,41.32,2,669.87,76,0,400.19,2157.76,Salary,1484.8,Transportation,Positive,28.8,Medium,1516.88,0
2020-11-21,1856,3281.77,2937.27,0.09,2975.45,normal,621.0,0.22,91.88,625.54,6,1642.86,89,0,579.78,2982.26,Salary,1094.01,Dining Out,Positive,40.7,Low,344.5,0
2020-12-21,1310,3642.2,1872.49,0.25,1972.05,normal,721.0,0.16,782.47,423.27,2,1139.84,50,0,408.48,2303.32,Salary,1540.2,Insurance,Neutral,4.5,Low,1769.71,0
2021-01-20,1332,3463.41,3271.94,0.08,2743.33,normal,604.0,0.16,415.25,396.61,5,1464.46,45,0,221.86,1895.09,Salary,1585.15,Healthcare,Neutral,91.8,High,191.47,0
2021-02-19,1071,4599.21,3564.07,0.3,3528.02,inflation,657.0,0.37,385.63,736.26,6,503.96,21,0,606.22,2307.27,Salary,1451.61,Utilities,Positive,61.4,Low,1035.14,0
2021-03-21,1371,3375.82,2627.31,0.07,3402.61,normal,661.0,0.23,885.3,580.03,2,532.31,87,1,459.21,2665.28,Salary,1306.39,Insurance,Negative,23.5,Medium,748.51,0
2021-04-20,1938,4023.87,1360.32,0.17,3357.66,recession,740.0,0.21,470.65,0.0,7,2018.03,77,0,830.19,2651.21,Salary,851.6,Healthcare,Positive,87.0,Low,2663.55,0
2021-05-20,1260,4976.02,3902.74,0.27,2370.54,normal,535.0,0.43,1151.87,318.52,5,592.64,58,0,346.96,2214.83,Salary,815.3,Insurance,Positive,93.5,Low,1073.28,0
2021-06-19,1277,3874.19,2673.9,0.06,3160.19,inflation,709.0,0.42,359.9,0.0,9,192.49,21,0,826.7,2111.3,Salary,1239.34,Utilities,Positive,22.5,Medium,1200.29,0
2021-07-19,1446,3539.63,1192.31,0.07,2554.84,normal,731.0,0.4,680.77,130.48,3,303.31,91,0,641.53,1446.19,Freelance,1269.19,Transportation,Negative,34.0,Low,2347.32,0
2021-08-18,1917,2832.28,4716.8,0.39,2712.04,normal,648.0,0.23,346.02,479.85,1,1165.48,68,0,390.53,2336.89,Salary,1179.15,Insurance,Negative,63.3,Medium,0.0,0
2021-09-17,1209,3456.66,2910.41,0.3,3457.95,normal,611.0,0.48,492.74,222.84,7,592.01,68,0,429.48,2045.01,Salary,670.0,Groceries,Neutral,10.7,Low,546.25,0
2021-10-17,1896,2954.93,5011.59,0.19,3533.22,inflation,696.0,0.35,324.05,608.22,1,959.69,69,0,516.68,2701.17,Salary,1902.67,Rent,Neutral,1.0,High,0.0,0
2021-11-16,1335,4374.48,4704.11,0.2,2581.05,normal,666.0,0.28,791.63,275.37,9,543.07,51,0,163.42,2079.27,Freelance,1375.16,Dining Out,Positive,48.0,High,0.0,0
2021-12-16,1604,3185.98,1721.25,0.15,2148.24,normal,613.0,0.32,421.45,403.33,1,959.2,56,0,453.23,1440.94,Salary,812.36,Insurance,Positive,98.9,Low,1464.73,0
2022-01-15,1895,3150.47,2759.67,0.05,2711.72,inflation,753.0,0.16,538.51,418.16,6,689.26,52,0,748.25,1384.25,Salary,1101.52,Transportation,Neutral,8.8,Low,390.8,0
2022-02-14,1662,3797.06,2792.7,0.37,2453.8,inflation,690.0,0.34,372.48,25.42,1,1593.13,63,0,920.17,2452.58,Salary,1380.33,Dining Out,Positive,97.7,Low,1004.36,0
2022-03-16,1461,3152.89,1886.08,0.13,3334.43,inflation,754.0,0.54,728.33,325.3,9,988.54,61,0,329.4,1350.44,Salary,642.61,Insurance,Positive,57.6,Low,1266.81,0
2022-04-15,1243,4953.73,3013.09,0.31,2929.87,inflation,651.0,0.56,1110.26,521.1,9,1472.05,88,0,517.53,1553.91,Salary,557.02,Dining Out,Negative,45.5,Medium,1940.64,0
2022-05-15,1894,5299.48,2460.74,0.34,3367.14,recession,636.0,0.25,496.16,264.36,4,295.52,49,0,508.35,2556.54,Salary,1281.91,Groceries,Neutral,38.1,Low,2838.74,0
2022-06-14,1446,3266.25,1380.33,0.23,2511.99,normal,708.0,0.19,164.61,464.44,7,1085.1,97,0,407.98,2656.32,Salary,720.27,Groceries,Positive,99.5,High,1885.92,0
2022-07-14,1827,3805.09,2046.66,0.38,2905.7,normal,741.0,0.27,232.36,306.77,8,980.8,75,0,505.06,2657.53,Salary,818.8,Entertainment,Positive,76.2,Low,1758.43,0
2022-08-13,1063,4695.21,4526.43,0.2,2232.93,normal,746.0,0.52,149.62,1114.32,1,1174.05,86,0,721.25,1585.08,Salary,1277.59,Investments,Positive,4.4,Medium,168.78,0
2022-09-12,1579,3062.59,2374.18,0.37,2715.38,normal,691.0,0.28,492.44,312.53,6,1952.76,49,0,799.8,2231.37,Freelance,1034.37,Investments,Neutral,33.3,Medium,688.41,0
2022-10-12,1866,2567.88,2611.7,0.22,3408.13,normal,663.0,0.41,505.42,0.0,1,397.39,32,0,399.37,1913.29,Freelance,1856.11,Investments,Positive,4.9,High,0.0,0
2022-11-11,1737,3564.15,2364.97,0.26,2846.31,inflation,711.0,0.14,544.1,48.06,4,397.5,68,0,285.79,2412.89,Salary,930.95,Insurance,Negative,53.1,Medium,1199.18,0
2022-12-11,1370,3018.3,2843.89,0.18,2417.01,normal,635.0,0.36,722.82,438.22,3,997.38,71,0,687.59,2514.67,Freelance,1535.2,Utilities,Positive,7.1,High,174.41,0
2023-01-10,1807,4385.93,2446.52,0.37,2618.46,normal,718.0,0.19,608.8,249.26,9,1121.99,31,0,389.61,2473.45,Salary,1307.07,Education,Positive,50.0,High,1939.41,0
2023-02-09,1214,3365.37,4409.87,0.28,2178.54,normal,683.0,0.22,626.78,706.14,7,1014.1,54,0,315.23,2725.96,Mixed,1455.59,Entertainment,Negative,52.2,Low,0.0,0
2023-03-11,1128,4797.98,3844.56,0.3,3441.53,normal,685.0,0.18,615.87,331.69,6,665.9,83,0,783.88,2484.2,Salary,1231.69,Dining Out,Positive,89.1,Low,953.42,0
2023-04-10,1048,3940.12,3005.82,0.29,2963.31,normal,665.0,0.37,376.16,231.16,6,700.32,46,0,347.27,2089.57,Freelance,2043.99,Transportation,Positive,54.4,Medium,934.3,0
2023-05-10,1453,4576.18,2464.61,0.14,3021.33,recession,751.0,0.56,547.0,524.2,2,1394.16,36,0,526.62,1719.7,Freelance,418.92,Transportation,Positive,12.1,High,2111.57,0
2023-06-09,1386,5111.08,3601.36,0.12,2685.73,inflation,698.0,0.21,260.95,278.3,3,1016.3,45,0,848.56,2091.46,Salary,660.59,Education,Neutral,15.6,Medium,1509.72,0
2023-07-09,1962,5514.81,2614.04,0.08,3259.67,normal,703.0,0.11,809.86,28.65,3,1074.75,81,0,450.6,2559.54,Freelance,1385.43,Rent,Positive,58.3,Low,2900.77,0
2023-08-08,1701,3737.87,3199.86,0.31,1513.22,normal,647.0,0.18,345.65,633.55,4,1414.24,74,0,611.22,2706.64,Salary,1378.12,Insurance,Positive,25.4,Low,538.01,0
2023-09-07,1978,2788.49,2128.48,0.19,2728.76,normal,671.0,0.14,921.83,394.93,5,640.45,64,0,487.03,1893.97,Freelance,856.72,Entertainment,Positive,11.4,Low,660.01,0
2023-10-07,1410,3145.16,2220.45,0.32,3615.97,normal,608.0,0.52,537.63,821.14,6,593.19,37,0,778.07,2165.56,Salary,1445.45,Entertainment,Negative,99.7,Low,924.71,0
2023-11-06,1389,3360.3,5853.2,0.12,3016.99,normal,693.0,0.57,565.83,392.04,5,1104.14,50,0,887.86,2093.06,Salary,1119.7,Dining Out,Positive,31.7,Medium,0.0,0
2019-01-01,1997,2578.18,2314.4,0.07,2979.66,recession,771.0,0.33,487.37,654.57,2,1538.03,32,0,449.34,1991.85,Salary,1062.6,Dining Out,Positive,31.5,High,263.78,0
2019-01-31,1577,4532.96,2762.25,0.36,2286.6,normal,664.0,0.37,509.45,299.82,9,1262.0,92,0,366.62,2385.74,Salary,1465.27,Utilities,Neutral,19.1,Medium,1770.71,0
2019-03-02,1965,6148.1,3555.9,0.25,2624.66,recession,660.0,0.13,978.84,423.54,1,178.61,45,0,530.47,2209.22,Salary,1199.77,Investments,Negative,1.3,Low,2592.2,0
2019-04-01,1333,1947.27,4457.39,0.26,2997.07,normal,669.0,0.46,687.79,596.46,8,396.93,25,0,162.89,2171.38,Salary,1060.91,Insurance,Positive,76.4,High,0.0,0
2019-05-01,1608,2918.58,1340.14,0.32,2849.76,normal,657.0,0.35,534.33,385.09,5,686.51,59,0,342.52,2141.52,Salary,1094.19,Insurance,Negative,74.7,High,1578.44,0
2019-05-31,1527,4743.64,3230.18,0.3,3444.56,normal,759.0,0.59,447.11,95.44,7,210.13,49,0,338.95,2888.98,Salary,1055.09,Insurance,Positive,91.4,Low,1513.46,0
2019-06-30,1461,2598.15,3477.97,0.25,3019.66,normal,666.0,0.48,450.99,752.74,6,435.09,94,0,679.7,2740.24,Salary,1321.52,Utilities,Positive,64.3,Medium,0.0,0
2019-07-30,1905,3482.5,2302.83,0.33,2970.08,normal,630.0,0.15,704.13,321.0,2,683.01,60,0,116.82,2021.61,Mixed,1423.22,Investments,Neutral,90.1,Medium,1179.67,0
2019-08-29,1925,4313.75,2613.77,0.33,2414.02,normal,616.0,0.27,459.07,544.2,5,757.58,45,0,1007.33,2905.84,Salary,1846.99,Rent,Positive,43.3,Medium,1699.98,0
2019-09-28,1120,2413.74,2468.21,0.36,1868.91,normal,728.0,0.23,775.44,391.76,8,1205.19,60,0,309.67,2016.58,Salary,1710.16,Transportation,Positive,6.3,High,0.0,0
2019-10-28,1942,3351.95,2206.76,0.16,3223.23,normal,731.0,0.33,615.16,369.66,7,1342.36,57,0,795.63,1842.64,Salary,916.09,Insurance,Positive,51.2,Medium,1145.19,0
2019-11-27,1061,4724.31,3619.56,0.06,2612.59,normal,622.0,0.53,477.56,610.37,7,557.75,66,0,457.14,2159.52,Salary,1127.59,Entertainment,Positive,31.0,Low,1104.75,0
2019-12-27,1857,4744.74,2737.26,0.08,2829.23,normal,734.0,0.44,473.71,815.78,8,295.45,64,0,490.81,1374.36,Mixed,1535.78,Transportation,Positive,46.9,High,2007.48,0
2020-01-26,1178,4019.61,3348.09,0.09,2223.5,inflation,662.0,0.44,361.59,39.16,6,1207.1,27,0,373.47,2248.86,Salary,591.0,Dining Out,Neutral,93.2,Low,671.52,0
2020-02-25,1563,3366.47,4182.38,0.31,1874.76,normal,738.0,0.48,591.37,201.73,5,841.57,34,0,720.15,2563.36,Salary,2133.36,Education,Neutral,21.4,Medium,0.0,0
2020-03-26,1788,4236.25,1861.05,0.31,3863.63,recession,661.0,0.3,375.76,115.31,1,588.55,80,0,388.07,2759.05,Mixed,1059.87,Rent,Positive,95.1,Medium,2375.2,0
2020-04-25,1759,3391.04,4857.85,0.37,3028.27,inflation,726.0,0.17,420.55,748.4,2,1696.56,83,0,879.56,1430.28,Salary,1914.63,Healthcare,Neutral,5.9,Low,0.0,0
